Symbol,Exchange,Type
ACWI,NASDAQ,Stock
ADBE,NASDAQ,Stock
AMBA,NASDAQ,Stock
AMZN,NASDAQ,Stock
ANGL,NASDAQ,Stock
CHTR,NASDAQ,Stock
CINF,NASDAQ,Stock
EXEL,NASDAQ,Stock
FFIV,NASDAQ,Stock
FIVN,NASDAQ,Stock
GEN,NASDAQ,Stock
IGSB,NASDAQ,Stock
IUSB,NASDAQ,Stock
KBWB,NASDAQ,Stock
LULU,NASDAQ,Stock
MAR,NASDAQ,Stock
META,NASDAQ,Stock
MRVL,NASDAQ,Stock
MSFT,NASDAQ,Stock
MSTR,NASDAQ,Stock
NWL,NASDAQ,Stock
ROST,NASDAQ,Stock
SFM,NASDAQ,Stock
SHV,NASDAQ,Stock
TMUS,NASDAQ,Stock
TROW,NASDAQ,Stock
ULTA,NASDAQ,Stock
VGSH,NASDAQ,Stock
YY,NASDAQ,Stock
ROKU,NASDAQ,Stock
GH,NASDAQ,Stock
TWST,NASDAQ,Stock
ZM,NASDAQ,Stock
CRWD,NASDAQ,Stock
